鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
信義區,房地(土地+建物)+車位,臺北市信義區基隆路二段121~150號,6.39,商,,,1051227,土地1建物1車位1,四層,十三層,套房(1房1廳1衛),商業用,鋼筋混凝土造,851106.0,68.16,1,1,1,有,有,13800000,202465.0,其他,16.44,0,,RPUNMLRJKHMFFDA08CA,121.55706940000002,25.0286362
松山區,房地(土地+建物),臺北市松山區南京東路五段61~90號,10.38,商,,,1060103,土地2建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,750519.0,108.9,3,2,2,有,有,23500000,215794.0,,0.0,0,天井加蓋,RPTQMLNLJHMFFDA97CA,121.55944070000001,25.0517366
士林區,房地(土地+建物),臺北市士林區社正路31~60號,18.69,商,,,1051201,土地3建物1車位0,三層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,810123.0,96.56,2,1,1,有,無,6200000,64209.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTOMLQKJHMFFEA08CA,121.509351,25.0889188
萬華區,房地(土地+建物),臺北市萬華區中華路一段151~180號,29.5,商,,,1020510,土地2建物1車位0,二層,十一層,辦公商業大樓,商業用,鋼筋混凝土造,,341.26,0,0,1,有,無,205000000,600715.0,,0.0,0,1.內含獨立產權公設，未包含在棟數內2.價格含增建3.共有人數2人,RPPPMLRJOHIFFBA57CA,121.506849,25.040241
萬華區,房地(土地+建物),臺北市萬華區武昌街二段121~150號,3.86,商,,,1020506,土地1建物1車位0,三層,九層,辦公商業大樓,商業用,鋼筋混凝土造,630806.0,23.54,1,0,0,有,有,1400000,59473.0,,0.0,0,整層為商業攤位少部份有做隔間,RPSOMLRLNHIFFBA87CA,121.5028554,25.0456575
萬華區,房地(土地+建物),臺北市萬華區武昌街二段121~150號,2.98,商,,,1020910,土地1建物1車位0,二層,九層,辦公商業大樓,商業用,鋼筋混凝土造,630806.0,17.82,0,0,0,無,有,1080000,60606.0,,0.0,0,,RPURMLMJIIIFFBA27CA,121.5028554,25.0456575
萬華區,房地(土地+建物),臺北市萬華區武昌街二段121~150號,5.96,商,,,1020925,土地1建物2車位0,三層,九層,辦公商業大樓,商業用,鋼筋混凝土造,630806.0,42.48,0,0,0,無,有,2760000,64972.0,,0.0,0,,RPQNMLOKIIIFFBA76CA,121.5028554,25.0456575
萬華區,房地(土地+建物),臺北市萬華區武昌街二段121~150號,4.86,商,,,1020918,土地1建物1車位0,三層,九層,辦公商業大樓,商業用,鋼筋混凝土造,630806.0,27.26,0,0,0,無,有,1773750,65068.0,,0.0,0,,RPOOMLOKIIIFFBA66CA,121.5028554,25.0456575
萬華區,房地(土地+建物),臺北市萬華區武昌街二段121~150號,2.87,商,,,1021001,土地1建物1車位0,三層,九層,辦公商業大樓,商業用,鋼筋混凝土造,630806.0,17.82,0,0,0,無,有,1157700,64966.0,,0.0,0,,RPPNMLQKIIIFFBA86CA,121.5028554,25.0456575
萬華區,房地(土地+建物),臺北市萬華區武昌街二段121~150號,4.2,商,,,1021007,土地1建物1車位0,三層,九層,辦公商業大樓,商業用,鋼筋混凝土造,630806.0,24.37,0,0,0,無,有,1500000,61551.0,,0.0,0,,RPRNMLQJJIIFFBA07CA,121.5028554,25.0456575
