鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
信義區,房地(土地+建物)+車位,臺北市信義區紫雲街61~90號,77.56,住,,,1051220,土地2建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800723.0,95.27,4,2,2,有,有,11000000,115461.0,坡道平面,29.06,0,1.親友、員工或其他特殊關係間之交易。2.買賣標的並非完整一間主建物及車位。,RPPNMLQJKHMFFDA47CA,121.575921,25.015949
北投區,房地(土地+建物)+車位,臺北市北投區天母西路120巷1~30號,53.1,商,,,1051101,土地1建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,920708.0,312.06,5,2,3,有,有,58880000,188676.0,坡道平面,0.0,0,內含獨立產權車位，未包含在棟數內。本案車位面積無法概算。含增建或未登記建物。,RPSOMLNKJHMFFEA67CA,121.5228358,25.1187308
北投區,房地(土地+建物),臺北市北投區行義路23巷1~30號,33.43,住,,,1051001,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670506.0,94.76,3,2,1,有,無,11500000,121359.0,,0.0,0,,RPPPMLLKJHMFFEA27CA,121.5258133,25.1240896
北投區,房地(土地+建物),臺北市北投區文林北路271~300號,19.21,住,,,1051201,土地3建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,730227.0,91.48,3,2,1,有,無,12870000,140686.0,,0.0,0,含增建或未登記建物。,RPQNMLMKJHMFFEA27CA,121.51228359999999,25.1095183
北投區,房地(土地+建物),臺北市北投區行義路186巷31~60號,36.22,住,,,1051201,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,750113.0,153.04,3,2,2,有,有,16500000,107815.0,,0.0,0,含增建或未登記建物。,RPTNMLMKJHMFFEA57CA,121.52967240000001,25.1330693
士林區,房地(土地+建物)+車位,臺北市士林區中山北路七段219巷1~30號,40.9,住,,,1051201,土地1建物1車位1,六層，七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,731026.0,231.62,3,2,3,有,有,36150000,156075.0,坡道平面,0.0,0,內含獨立產權車位，未包含在棟數內。本案車位面積無法概算。含增建或未登記建物。,RPVNMLMKJHMFFEA77CA,121.53363200000001,25.128841
北投區,房地(土地+建物),臺北市北投區致遠一路二段86巷1~30號,33.98,住,,,1051201,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671021.0,125.11,3,2,2,有,無,16000000,127887.0,,0.0,0,價格含增建。,RPTOMLMKJHMFFEA67CA,121.51334920000001,25.1128916
士林區,房地(土地+建物),臺北市士林區中山北路六段405巷31~60號,28.5,住,,,1051201,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,731003.0,142.52,3,2,2,有,有,25500000,178922.0,,0.0,0,陽台外推本成交資訊系由不動產經紀業提供屬實,RPPNMLNKJHMFFEA27CA,121.5248822,25.1034301
士林區,房地(土地+建物)+車位,臺北市士林區中山北路六段290巷7弄31~60號,50.77,住,,,1051201,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010320.0,263.62,3,2,2,有,無,47000000,178287.0,坡道機械,0.0,0,,RPQOMLKLJHMFFEA27CA,121.52744080000001,25.1098714
大安區,房地(土地+建物)+車位,臺北市大安區新生南路一段97巷1~30號,42.9,住,,,1051218,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010103.0,210.57,0,0,0,無,有,66000000,313435.0,一樓平面,0.0,4500000,含增建或未登記建物。,RPWOMLMKJHMFFFA08CA,121.5340794,25.0412648
大安區,房地(土地+建物)+車位,臺北市大安區瑞安街135巷1~30號,54.22,住,,,1051117,土地1建物1車位4,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,960307.0,385.15,4,2,2,有,有,106800000,277295.0,坡道平面,115.65,0,含增建或未登記建物。內含獨立產權車位，未包含在棟數內,RPXOMLMKJHMFFFA18CA,121.5409867,25.026976
大安區,房地(土地+建物),臺北市大安區永康街41巷1~30號,24.5,住,,,1050904,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740125.0,83.91,2,2,1,有,無,20800000,247885.0,,0.0,0,,RPSNMLNKJHMFFFA67CA,121.529673,25.030493
大安區,房地(土地+建物),臺北市大安區忠孝東路四段223巷1~30號,15.01,住,,,1051122,土地3建物1車位0,一層，騎樓,七層,店面(店鋪),住家用,鋼筋混凝土造,631115.0,63.26,0,0,0,無,無,8809600,139260.0,,0.0,0,二親等買賣,RPUNMLNKJHMFFFA87CA,121.5440557,25.0418391
大安區,房地(土地+建物),臺北市大安區瑞安街208巷11弄1~30號,26.94,住,,,1051126,土地8建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,770331.0,129.19,3,2,2,有,無,28920000,223856.0,,0.0,0,內含獨立產權公設，未包含在棟數內。含增建或未登記建物。,RPSOMLNKJHMFFFA77CA,121.5406953,25.0286424
大安區,房地(土地+建物),臺北市大安區信義路四段241~270號,10.69,商,,,1051201,土地2建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.25,3,2,2,有,有,10550000,91540.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLTKJHMFFFA38CA,121.5535568,25.0334328
