鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號,lng,lat
北投區,建物,臺北市北投區北投路一段31~60號,0,商,,,1050908,土地0建物2車位0,一層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1020306,307.98,2,3,2,有,有,無,88000,286,,0,0,租1，2層樓兩戶打通,RPOQMLOJJHMFFEA77DC,121.5012046,25.1238698
大安區,建物,臺北市大安區信義路四段121~150號,0,其他,,,1051228,土地0建物1車位0,六層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,691124,140.61,1,1,1,有,有,有,27200,193,,0,0,,RPWNMLOJJHMFFFA28CC,121.5440779,25.0335589
大安區,建物,臺北市大安區市民大道四段121~150號,0,住,,,1060102,土地0建物1車位0,三層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,950828,38.13,3,1,1,有,有,有,23500,616,,0,0,,RPOOMLOJJHMFFFA57CC,121.5521465,25.0443846
大安區,建物,臺北市大安區復興南路一段331~360號,0,商,,,1051212,土地0建物1車位0,一層,12,店面(店鋪),商業用,鋼筋混凝土造,,144.62,0,0,0,無,無,無,90000,622,,0,0,,RPSOMLOJJHMFFFA97CC,121.5435611,25.0361623
松山區,建物,臺北市松山區南京東路五段211~240號,0,其他,,,1051214,土地0建物1車位0,十三層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,980331,51.71,1,1,1,有,有,有,24000,464,,0,0,續約,RPRNMLOJJHMFFDA57CC,121.5578,25.05189
信義區,建物,臺北市信義區忠孝東路五段451~480號,0,商,,,1051229,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,941006,40.54,1,1,1,有,有,有,30650,756,,0,0,續約,RPSNMLOJJHMFFDA67CC,121.5762524,25.0411038
信義區,建物,臺北市信義區忠孝東路五段241~270號,0,商,,,1051229,土地0建物1車位0,十一層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,930930,29.5,1,1,1,有,有,有,22000,746,,0,0,,RPTNMLOJJHMFFDA77CC,121.570014,25.042405
信義區,建物,臺北市信義區松勤街1~30號,0,其他,,,1051230,土地0建物1車位0,五層,19,套房(1房1廳1衛),住家用,見其他登記事項,961225,49.15,1,1,1,有,有,有,35000,712,,0,0,續約,RPUNMLOJJHMFFDA87CC,121.5604846,25.0322281
信義區,建物,臺北市信義區信義路五段91~120號,0,工,,,1051205,土地0建物1車位0,六層,12,辦公商業大樓,見其他登記事項,鋼筋混凝土造,960919,329.91,1,1,1,有,有,有,95000,288,坡道平面,39.68,0,,RPOOMLOJJHMFFDA37CC,121.5651137,25.0326825
信義區,建物,臺北市信義區吳興街284巷1~30號,0,住,,,1051219,土地0建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030805,117.29,3,2,2,有,有,無,45000,384,,0,0,,RPPOMLOJJHMFFDA47CC,121.559363,25.0319523
信義區,建物,臺北市信義區信義路五段121~150號,0,住,,,1060101,土地0建物1車位0,十層,25,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,931130,249.07,3,2,2,有,有,無,133000,534,,0,0,,RPUOMLOJJHMFFDA97CC,121.5738977,25.0336571
內湖區,建物,臺北市內湖區民權東路六段151~180號,0,住,,,1051223,土地0建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,950606,297.41,4,2,2,有,有,有,80000,269,坡道平面,43.78,0,,RPSNMLOJJHMFFCA57CC,121.5947034,25.0689386
內湖區,建物,臺北市內湖區內湖路三段60巷12弄61~90號,0,,,,1051230,土地0建物1車位0,十一層,16,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,810623,179.71,5,3,3,有,無,有,40000,223,,0,0,,RPTNMLOJJHMFFCA67CC,121.5919685,25.0889762
中山區,建物,臺北市中山區林森北路361~390號,0,商,,,1051228,土地0建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,980916,66.62,1,1,1,有,有,有,50000,751,,0,0,,RPXNMLOJJHMFFCA08CC,121.525506,25.0572808
中山區,建物,臺北市中山區中山北路一段91~120號,0,商,,,1051220,土地0建物1車位0,三層,12,辦公商業大樓,商業用,鋼筋混凝土造,770401,129.9,1,0,0,無,有,無,49500,381,,0,0,,RPQOMLOJJHMFFCA47CC,121.5222907,25.0506682
內湖區,建物,臺北市內湖區文德路151~180號,0,住,,,1060103,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770128,123.31,3,2,2,有,有,有,26800,217,,0,0,,RPVOMLOJJHMFFCA97CC,121.5846932,25.0787713
中山區,建物,臺北市中山區民權西路61~90號,0,商,,,1051228,土地0建物1車位0,二層,4,店面(店鋪),,加強磚造,,159.95,1,1,2,有,無,無,67200,420,,0,0,,RPXOMLOJJHMFFCA18CC,121.5201991,25.0630441
內湖區,建物,臺北市內湖區內湖路一段301~330號,0,工,,,1051227,土地0建物1車位4,十層,13,廠辦,工業用,見使用執照,910520,318.46,6,2,0,有,有,有,135000,424,坡道平面,163.06,0,,RPQPMLOJJHMFFCA57CC,121.5672945,25.0822304
中山區,建物,臺北市中山區德惠街193巷1~30號,0,住,,,1051208,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,800419,73.9,2,1,1,有,有,有,25000,338,,0,0,,RPSPMLOJJHMFFCA77CC,121.5230068,25.066913
內湖區,建物,臺北市內湖區基湖路35巷1~30號,0,工,,,1051228,土地0建物1車位5,七層,10,廠辦,見其他登記事項,鋼筋混凝土造,950713,442.14,0,0,0,無,有,無,190000,430,坡道平面,0,0,,RPTOMLPJJHMFFCA87CC,121.5657274,25.0796015
中山區,建物,臺北市中山區新生北路二段72巷1~30號,0,商,,,1051212,土地0建物1車位0,一層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,610402,41.74,1,1,1,有,有,無,23000,551,,0,0,,RPPPMLPJJHMFFCA57CC,121.5272195,25.0570753
