鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺.1,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺.2,租金總額元,備註,編號,lng,lat
大安區,建物,臺北市大安區敦化南路二段31~60號,0.0,商,,,1051219,土地0建物1車位0,五層,20.0,辦公商業大樓,商業用,鋼筋混凝土造,720714.0,85.82,3,1,0,有,有,無,40000,466.0,,0.0,0,,RPRNMLMKJHMFFFA67CC,121.5491635,25.032276100000004
中山區,建物,臺北市中山區農安街1~30號,0.0,商,,,1051220,土地0建物1車位0,三層,12.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,730323.0,131.21,2,1,1,有,有,有,18000,137.0,,0.0,0,,RPUPMLMKJHMFFCA87CC,121.5295986,25.064967000000003
松山區,建物,臺北市松山區南京東路四段181~210號,0.0,商,,,1051216,土地0建物1車位0,十層,12.0,辦公商業大樓,商業用,鋼筋混凝土造,681027.0,103.9,1,1,0,有,有,無,33000,318.0,,0.0,0,,RPPNMLMKJHMFFDA27CC,121.55656880000001,25.0517846
松山區,建物,臺北市松山區南京東路四段151~180號,0.0,商,,,1051227,土地0建物1車位0,四層,12.0,辦公商業大樓,商業用,鋼筋混凝土造,730615.0,80.51,0,0,0,無,有,無,28000,348.0,,0.0,0,,RPRNMLMKJHMFFDA47CC,121.55568290000001,25.0518383
信義區,建物,臺北市信義區光復南路391~420號,0.0,商,,,1060111,土地0建物1車位0,三層,12.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,77.95,2,2,1,有,有,有,25000,321.0,,0.0,0,,RPPPMLMKJHMFFDA47CC,121.55750420000001,25.037253399999997
松山區,建物,臺北市松山區復興北路181~210號,0.0,商,,,1051230,土地0建物1車位0,二層,15.0,辦公商業大樓,商業用,鋼筋混凝土造,750205.0,274.64,3,0,0,有,有,無,136225,496.0,,0.0,0,,RPXOMLNKJHMFFDA28CC,121.54444790000001,25.0548084
松山區,建物,臺北市松山區南京東路四段1~30號,0.0,其他,,,1060104,土地0建物1車位2,六層,14.0,辦公商業大樓,商業用,鋼筋混凝土造,740415.0,495.87,5,0,2,有,有,無,252000,508.0,坡道平面,0.0,0,,RPPPMLNKJHMFFDA57CC,121.5495307,25.0519742
信義區,建物,臺北市信義區忠孝東路四段553巷31~60號,30.3,商,,,1051215,土地0建物1車位0,一層,7.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,30.3,2,0,1,有,無,有,70000,2310.0,,0.0,0,,RPQPMLNKJHMFFDA67CC,121.56278640000001,25.0436779
中山區,建物,臺北市中山區民生東路一段61~90號,0.0,商,,,1051226,土地0建物1車位0,六層,11.0,套房(1房1廳1衛),商業用,鋼筋混凝土造,810422.0,47.3,1,1,1,有,有,有,16282,344.0,,0.0,0,,RPXOMLNKJHMFFCA18CC,121.52700290000001,25.0577712
內湖區,建物,臺北市內湖區江南街96巷1~30號,0.0,住,,,1051226,土地0建物1車位0,地下一層,7.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,841026.0,69.97,2,1,1,有,有,無,18000,257.0,,0.0,0,,RPOPMLNKJHMFFCA37CC,121.577069,25.07728
中山區,建物,臺北市中山區松江路77巷1~30號,0.0,住,,,1051224,土地0建物1車位0,五層,11.0,套房(1房1廳1衛),商業用,鋼筋混凝土造,931224.0,50.26,1,1,1,有,有,有,28000,557.0,,0.0,0,,RPUPMLNKJHMFFCA97CC,121.53298590000001,25.0456563
內湖區,建物,臺北市內湖區文德路22巷9弄31~60號,0.0,,,,1060110,土地0建物1車位0,地下層,9.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,830505.0,97.93,3,2,2,有,有,有,32000,327.0,,0.0,0,,RPVQMLNKJHMFFCA18CC,121.5794987,25.077199
內湖區,建物,臺北市內湖區東湖路1~30號,0.0,商,,,1060101,土地0建物1車位0,二層,7.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,751128.0,129.12,0,0,0,無,無,無,35000,271.0,,0.0,0,,RPWRMLNKJHMFFCA38CC,121.6122699,25.0689932
中山區,建物,臺北市中山區長安東路一段1~30號,0.0,商,,,1060104,土地0建物1車位0,八層,11.0,辦公商業大樓,商業用,鋼筋混凝土造,610328.0,257.85,0,0,0,無,有,無,97650,379.0,,0.0,0,本戶承租八樓室內63坪，含公設78坪。,RPXRMLNKJHMFFCA48CC,121.522081,25.049818
中正區,房地(土地+建物),臺北市中正區忠孝西路一段61~90號,1163.73,商,,,1051118,土地1建物1車位0,三十四層,46.0,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,821221.0,1885.01,0,0,0,無,無,有,1257335,667.0,,0.0,0,,RPTOMLNKJHMFFBA67CC,121.5168406,25.0465078
信義區,建物,臺北市信義區忠孝東路五段481~510號,0.0,住,,,1060105,土地0建物1車位1,八層,27.0,辦公商業大樓,商業用,鋼骨混凝土造,820813.0,197.25,4,0,1,有,有,無,86000,436.0,坡道平面,0.0,0,,RPSOMLQKJHMFFDA08CC,121.577475,25.041004
松山區,建物,臺北市松山區南京東路四段151~180號,0.0,商,,,1060105,土地0建物1車位0,五層,10.0,辦公商業大樓,商業用,鋼筋混凝土造,840418.0,267.89,4,0,0,有,有,無,92000,343.0,,0.0,0,,RPUOMLQKJHMFFDA28CC,121.55568290000001,25.0518383
文山區,建物,臺北市文山區保儀路26巷1~30號,0.0,商,,,1060104,土地0建物1車位0,四層,12.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,840304.0,145.85,4,2,2,有,有,無,22500,154.0,,0.0,0,,RPUNMLRKJHMFFAA97CC,121.56824080000001,24.9883392
中山區,建物,臺北市中山區長安東路二段151~180號,0.0,商,,,1060109,土地0建物1車位0,十一層,14.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,900326.0,129.05,3,2,2,有,有,有,58000,449.0,,0.0,0,,RPWNMLRKJHMFFCA38CC,121.5412075,25.0482059
中山區,建物,臺北市中山區堤頂大道二段481~510號,0.0,其他,,,1060105,土地0建物1車位1,六層,10.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,991201.0,190.78,0,0,0,無,有,有,78000,409.0,坡道平面,0.0,0,,RPXNMLRKJHMFFCA48CC,121.5619983,25.0820776
中山區,建物,臺北市中山區松江路31~60號,0.0,商,,,1060105,土地0建物1車位0,六層,10.0,辦公商業大樓,商業用,鋼筋混凝土造,770802.0,275.51,1,1,2,有,有,有,115000,417.0,,0.0,0,,RPWPMLRKJHMFFCA58CC,121.53317379999999,25.0474392
