鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺.1,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺.2,租金總額元,備註,編號,lng,lat
內湖區,建物,臺北市內湖區康寧路三段165巷14弄1~30號,0.0,商,,,1060123,土地0建物1車位0,五層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,761123.0,122.8,3,2,2,有,無,有,25000,204.0,,0.0,0,,RPUOMLPLJHMFFCA18CC,121.61185400000001,25.070678
內湖區,建物,臺北市內湖區文德路22巷53弄1~30號,0.0,住,,,1060124,土地0建物1車位0,二層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,730131.0,100.49,3,2,2,有,有,無,27000,269.0,,0.0,0,,RPXOMLPLJHMFFCA48CC,121.5802267,25.075826100000004
中山區,建物,臺北市中山區長安東路二段31~60號,0.0,商,,,1060113,土地0建物1車位0,全,2.0,透天厝,住家用,加強磚造,570614.0,81.09,2,1,1,有,無,有,30000,370.0,,0.0,0,,RPPPMLPLJHMFFCA77CC,121.5311785,25.048623000000003
中山區,建物,臺北市中山區長安東路一段30巷1~30號,0.0,商,,,1060114,土地0建物1車位0,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,670601.0,193.58,4,1,1,有,無,有,58000,300.0,,0.0,0,,RPRPMLPLJHMFFCA97CC,121.522081,25.049818
中正區,建物,臺北市中正區杭州南路一段111巷31~60號,0.0,住,,,1060122,土地0建物1車位0,五層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,911011.0,121.8,3,2,2,有,無,有,40000,328.0,,0.0,0,,RPRNMLPLJHMFFBA67CC,121.52654140000001,25.0365805
中正區,建物,臺北市中正區連雲街6巷1~30號,0.0,住,,,1060123,土地0建物1車位0,三層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,930917.0,81.93,3,1,1,有,無,有,42000,513.0,,0.0,0,,RPSNMLPLJHMFFBA77CC,121.531116,25.0377651
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1060118,土地0建物1車位0,十六層,18.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,980724.0,92.61,2,1,1,有,有,有,58000,626.0,,0.0,0,,RPTOMLPLJHMFFBA97CC,121.5164017,25.0488651
松山區,建物,臺北市松山區五常街271~300號,0.0,住,,,1051226,土地0建物1車位0,三層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620415.0,94.25,3,2,2,有,無,有,25000,265.0,,0.0,0,,RPOOMLPLJHMFFDA77DC,121.54489299999999,25.064411
文山區,建物,臺北市文山區羅斯福路五段92巷1~30號,0.0,其他,,,1060121,土地0建物1車位0,一層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,96.46,3,2,1,有,無,無,36000,373.0,,0.0,0,,RPPNMLQLJHMFFAA47CC,121.53842379999999,25.0031002
大安區,建物,臺北市大安區復興南路二段78巷30弄1~30號,0.0,住,,,1060116,土地0建物2車位0,三層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,761105.0,253.18,4,2,2,有,有,有,70000,276.0,,0.0,0,,RPPOMLQLJHMFFFA08CC,121.5424683,25.0309179
